name,country,links,platform,data_type,bluetooth,gps,qr_code,centralized,centralized_storage,central_id_storage,central_contact_storage,central_matching,collect_pii,status,date_proposed,date_dev,date_released,date_cancelled,linkage_method,protocol,anon_method,data_persistence_days,government,contact_trace_aid,opt_in_download,opt_in_share,quarantine_enforcement,open_source,encryption,covid_positive_verification,ios_downloads,android_downloads,notes
CAuDHT,,https://bit.ly/blecontacttracerdesign,mobile app,bluetooth,yes,no,no,,,,,,,proposal,,,,2020-04-18,,,,,,,,,no,,,,,,Merged with Safe2
Guardian,,https://www.myguardian.life/,mobile app,gps,no,yes,no,,,,,,yes,development,,,,,,,,,no,yes,yes,,no,no,,,,,
Hi5X,,https://hi5x-app.com,mobile app,gps + QR code,yes,yes,no,,,,,,,released,,,2020-04-17,,,,,,,,,,no,,,,,,
NinjaPad,,https://github.com/dantam/ninja-pad-python,mobile app,gps,no,yes,no,no,no,no,no,,,proposed,2020-04-22,,,,,,,,no,yes,yes,yes,no,yes,,test,,,seems to be discontinued
COVIDSafe,Australia,https://www.health.gov.au/resources/apps-and-tools/covidsafe-app,mobile app,bluetooth,yes,no,no,yes,yes,yes,no,yes,yes,released,2020-04-14,,2020-04-26,,exchange temporary ids,BlueTrace,pseudonymous,21,yes,yes,yes,yes,no,yes,yes,test,,1778000,based on TraceTogether
NOVID20,Austria,https://www.novid20.org/en,mobile app,gps + bluetooth,yes,yes,no,no,no,no,no,yes,no,development,,2020-04-06,,,,,anonymous,,no,yes,yes,yes,no,yes,yes,,,,
Stopp Corona,Austria,https://www.roteskreuz.at/site/faq-app-stopp-corona/datenschutzinformation-zur-stopp-corona-app/#c253470,mobile app,bluetooth,yes,no,no,no,no,no,no,no,no,released,,,2020-03-27,,exchange temporary ids,Apple/Google,pseudonymous,14,yes,yes,,yes,no,no,yes,self,,307103,
BeAware,Bahrain,https://play.google.com/store/apps/details?id=bh.bahrain.corona.tracker,mobile app,gps + bluetooth,yes,yes,no,yes,yes,yes,,,yes,released,,,2020-04-09,,,,none,14,yes,yes,no,yes,yes,no,,test,,,
Rombit,Belgium,https://www.usine-digitale.fr/article/covid-19-le-port-d-anvers-recourt-a-un-bracelet-connecte-pour-faire-respecter-la-distanciation-sociale.N957046,e-bracelet,bluetooth,yes,no,no,no,none,,,,,released,,,,,,,,,yes,yes,,no,no,no,,,,,
Unmaze,Bulgaria,http://cyborgsys.com/unmaze/,mobile app,gps + bluetooth,yes,yes,no,,,,,,,released,,,,,,,,14,no,yes,yes,,no,no,,,,,Made by company Cyborg systems
ViruSafe,Bulgaria,https://play.google.com/store/apps/details?id=bg.government.virusafe,mobile app,gps + bluetooth,yes,yes,no,,,yes,,,yes,released,,,2020-04-07,,,,,,yes,yes,yes,yes,no,yes,,,,,
ABTraceTogether,Canada,https://www.alberta.ca/ab-trace-together-privacy.aspx,mobile app,bluetooth,yes,no,no,yes,no,no,no,yes,yes,released,,,2020-05-01,,,,pseudonymous,21,yes,yes,yes,yes,no,no,,test,,,Official Alberta Government contact tracing app
ConTrac,Canada,https://livnao.com/covid19/,mobile app,bluetooth,yes,no,no,,,,,,,released,,,2020-04-25,,,,,,no,yes,,,no,no,,,,,app for companies to track their employees' mental health and potential contacts
Covi,Canada,https://covicanada.org/?gclid=CjwKCAjw8J32BRBCEiwApQEKgYT17Ril920EAZBfnUYbJWm81Q5bj-TBpwzTUtWVT0JZA1FKtUBMKhoC96sQAvD_BwE,mobile app,gps,no,yes,no,no,no,no,no,no,yes,development,,2020-05-18,,,,SafePaths,,30,no,yes,yes,yes,no,yes,yes,test,,,
